what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1567429725281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1567429733673
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1567429736201
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1567429738338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567429738431
error,log,,,"Plug-in de.innot.avreclipse.core.managedbuildsystem was unable to load class org.eclipse.cdt.managedbuilder.internal.scannerconfig.DefaultGCCScannerInfoCollector.",1567429740413
error,log,,,"Plug-in de.innot.avreclipse.core.managedbuildsystem was unable to load class org.eclipse.cdt.managedbuilder.internal.scannerconfig.DefaultGCCScannerInfoCollector.",1567429740600
error,log,,,"Plug-in de.innot.avreclipse.core.managedbuildsystem was unable to load class org.eclipse.cdt.managedbuilder.internal.scannerconfig.DefaultGCCScannerInfoCollector.",1567429740881
error,log,,,"Plug-in de.innot.avreclipse.core.managedbuildsystem was unable to load class org.eclipse.cdt.managedbuilder.internal.scannerconfig.DefaultGCCScannerInfoCollector.",1567429741115
error,log,,,"Plug-in de.innot.avreclipse.core.managedbuildsystem was unable to load class org.eclipse.cdt.managedbuilder.internal.scannerconfig.DefaultGCCScannerInfoCollector.",1567429741115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567429741520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567429742409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567429790925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567430107294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1567430180801
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1567430317146
